SampleID,Kingdom,Phylum,Class,Order,Family,Genus,Species
cbf5b10cede9c3f25da84b88042f6dff,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Kingella,s__oralis
0f828612e24b25b0b28567a00a19f570,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium,s__periodonticum
5ae2f8fc175aa0d8ff4d0ed88cf45d70,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria,s__Unclassified
6818a424bb3f45b910ba08f81330686f,k__Bacteria,p__Saccharibacteria_(TM7),c__Saccharibacteria_(TM7)_[C-1],o__Saccharibacteria_(TM7)_[O-1],f__Saccharibacteria_(TM7)_[F-1],k__Bacteria|p__Saccharibacteria_(TM7)|c__Saccharibacteria_(TM7)_[C-1]|o__Saccharibacteria_(TM7)_[O-1]|f__Saccharibacteria_(TM7)_[F-1]|g__Saccharibacteria_(TM7)_[G-6],s__(TM7)_[G-6]_bacterium_HMT_870
b38ae6d02772c64d2bddbe21028be3dd,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium,s__sp._HMT_203
1d0e7a3e1432ecad7afb98a0f02c5099,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Selenomonas,s__sp._HMT_481
bb5a0c438071c99f1cf47c992e7b9e1c,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptoniphilaceae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptoniphilaceae|g__Parvimonas,s__Unclassified
adf3c07f4b7887943fb37facec8c4513,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella,s__baroniae
5b77455e7ab99e2daaa8918bd1931d3e,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister,s__micraerophilus
c4e7641bfbcbd46d6c25d9cfd6ff9f43,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia,s__sp._HMT_215
37d1750236fd17a25840945a7f8fa4ca,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium,s__sp._HMT_203
746c0c6edc5b905c80e0a1f6bc328301,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces,s__lingnae_[Not_Validly_Published]
40cc795a677544305ef7bd955ad063f3,k__Bacteria,p__Saccharibacteria_(TM7),c__Saccharibacteria_(TM7)_[C-1],o__Saccharibacteria_(TM7)_[O-1],f__Saccharibacteria_(TM7)_[F-1],k__Bacteria|p__Saccharibacteria_(TM7)|c__Saccharibacteria_(TM7)_[C-1]|o__Saccharibacteria_(TM7)_[O-1]|f__Saccharibacteria_(TM7)_[F-1]|g__Saccharibacteria_(TM7)_[G-6],s__(TM7)_[G-6]_bacterium_HMT_870
902d29005d8dd9c5608159f1e829f724,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae_[XIV],k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae_[XIV]|g__Catonella,s__morbi
aabd46c01a3b932f254fa1ddf92c45df,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium,s__periodonticum
